# To display the perf.data header info, please use --header/--header-only options.
#
# comm: nerd
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/Pu'
# Event count (approx.): 235456187
#
# Overhead  Shared Object         Symbol                                    
# ........  ....................  ..........................................
#
     0.00%  libc.so.6             [.] 0x0000000000075597
     0.00%  libc.so.6             [.] 0x00000000000a9834
     0.00%  libc.so.6             [.] 0x0000000000076016
     0.00%  nerd                  [.] hash_fnv1a_string
     0.00%  [unknown]             [k] 0xffffffffb84000de
     0.00%  [unknown]             [k] 0xffffffffb86a8ab2
     0.00%  libc.so.6             [.] 0x000000000006b4a8
     0.00%  libc.so.6             [.] 0x000000000006b4d3
     0.00%  libc.so.6             [.] 0x00000000001b8001
     0.00%  libc.so.6             [.] 0x00000000001b15ca
     0.00%  nerd                  [.] munmap@plt
     0.00%  libc.so.6             [.] 0x0000000000075641
     0.00%  libc.so.6             [.] 0x000000000007690d
     0.00%  libc.so.6             [.] 0x00000000000bd31a
     0.00%  libc.so.6             [.] 0x0000000000075ff6
     0.00%  libc.so.6             [.] 0x00000000001b1db3
     0.00%  libc.so.6             [.] 0x0000000000076869
     0.00%  libc.so.6             [.] 0x00000000001b3d00
     0.00%  libc.so.6             [.] 0x00000000001b88fd
     0.00%  [unknown]             [k] 0xffffffffb86a6313
     0.00%  libc.so.6             [.] 0x000000000006b497
     0.00%  libc.so.6             [.] 0x00000000000768f8
     0.00%  libc.so.6             [.] 0x00000000000a97c8
     0.00%  libc.so.6             [.] 0x0000000000075f6f
     0.00%  libc.so.6             [.] 0x000000000009f1ab
     0.00%  libc.so.6             [.] 0x00000000000bc312
     0.00%  libc.so.6             [.] 0x0000000000075574
     0.00%  libc.so.6             [.] 0x0000000000075a39
     0.00%  libc.so.6             [.] 0x0000000000076d9b
     0.00%  libc.so.6             [.] 0x00000000000bbe7c
     0.00%  libc.so.6             [.] 0x000000000006b4f7
     0.00%  libc.so.6             [.] 0x00000000000afcb7
     0.00%  libc.so.6             [.] 0x000000000014d156
     0.00%  libc.so.6             [.] __lll_lock_wait_private
     0.00%  libc.so.6             [.] 0x0000000000076585
     0.00%  libc.so.6             [.] 0x000000000007568a
     0.00%  nerd                  [.] condition_wait
     0.00%  nerd                  [.] timing_probe_begin
     0.00%  libc.so.6             [.] 0x00000000000acc92
     0.00%  libc.so.6             [.] 0x00000000000acc20
     0.00%  libc.so.6             [.] 0x000000000007552b
     0.00%  libc.so.6             [.] 0x000000000007554e
     0.00%  libc.so.6             [.] 0x00000000000772ef
     0.00%  libc.so.6             [.] 0x000000000014c600
     0.00%  libc.so.6             [.] 0x0000000000075515
     0.00%  libc.so.6             [.] 0x000000000007652b
     0.00%  nerd                  [.] pthread_mutex_unlock@plt
     0.00%  libc.so.6             [.] cfree
     0.00%  libc.so.6             [.] 0x000000000007559d
     0.00%  libc.so.6             [.] 0x0000000000075dee
     0.00%  libc.so.6             [.] 0x0000000000075fe9
     0.00%  libc.so.6             [.] 0x00000000000accc7
     0.00%  libc.so.6             [.] 0x00000000000afd26
     0.00%  libc.so.6             [.] 0x00000000000bb828
     0.00%  libc.so.6             [.] 0x00000000000bb8bc
     0.00%  libc.so.6             [.] 0x00000000000bc11a
     0.00%  [unknown]             [k] 0xffffffffb8704f63
     0.00%  [unknown]             [k] 0xffffffffb8704f66
     0.00%  ld-linux-x86-64.so.2  [.] 0x0000000000029b7a
     0.00%  libc.so.6             [.] 0x0000000000069657
     0.00%  libc.so.6             [.] 0x0000000000069754
     0.00%  libc.so.6             [.] 0x000000000006adcb
     0.00%  libc.so.6             [.] 0x000000000006b4c3
     0.00%  libc.so.6             [.] 0x000000000006b4fd
     0.00%  libc.so.6             [.] 0x000000000006b505
     0.00%  libc.so.6             [.] 0x000000000006b545
     0.00%  libc.so.6             [.] 0x00000000000754d4
     0.00%  libc.so.6             [.] 0x0000000000075509
     0.00%  libc.so.6             [.] 0x0000000000075544
     0.00%  libc.so.6             [.] 0x0000000000075567
     0.00%  libc.so.6             [.] 0x00000000000756c0
